"First Name","Last Name","Email","Salary"
"Kelvin","Spencer","k.spencer@randatmail.com","6691"
"Mike","Montgomery","m.montgomery@randatmail.com","4242"
"Ted","Martin","t.martin@randatmail.com","9188"
"Lana","Morris","l.morris@randatmail.com","5568"
"Bruce","Craig","b.craig@randatmail.com","5425"
"Paige","Harrison","p.harrison@randatmail.com","763"
"Charlie","Baker","c.baker@randatmail.com","1294"
"Stuart","Dixon","s.dixon@randatmail.com","2561"
"Victor","Carter","v.carter@randatmail.com","7576"
"Aiden","Grant","a.grant@randatmail.com","9346"
